,win_loss,champ,game_type,mean_value,kill,dead,asist,level,cs,buy_wide,use_wide,rm_wide
1,패,가렌,일반,1.00,1,1,0,11,77,1,8,1
2,패,마스터이,일반,1.00,3,5,2,11,79,2,8,2
3,패,마스터이,일반,3.25,8,4,5,14,145,3,11,1
4,패,마스터이,자유랭크,1.38,10,8,1,16,129,3,14,0
5,승,다리우스,자유랭크,0.75,3,8,3,15,148,1,10,1
6,패,가렌,자유랭크,2.80,9,5,5,14,142,2,10,3
7,패,마스터이,자유랭크,1.20,3,5,3,13,111,1,7,0
8,패,마스터이,자유랭크,0.67,2,6,2,10,83,0,7,0
9,패,마스터이,랭크,0.00,0,5,0,8,70,0,4,0
10,패,마스터이,랭크,0.33,1,3,0,9,77,0,4,1
11,패,루시안,랭크,2.00,3,4,5,13,157,1,8,3
12,패,알리스타,랭크,0.57,1,7,3,11,42,5,18,3
13,승,럼블,총력전,3.12,7,8,8,16,40,0,0,0
14,승,나미,랭크,10.0,1,1,9,11,3,3,12,1
15,패,나미,랭크,2.00,0,8,1,13,10,4,27,8
16,패,볼리베어,총력전,1.50,4,10,11,15,14,0,0,0
17,승,나미,랭크,3.00,4,6,14,12,9,5,26,7
18,승,하이머딩거,총력전,4.75,12,6,26,18,61,0,0,0
19,패,초가스,총력전,2.75,7,8,15,18,39,0,0,0
20,패,나미,랭크,2.00,0,8,16,13,7,4,26,2
21,패,레오나,랭크,1.25,0,4,5,8,22,4,10,0
22,승,아무무,총력전,4.57,5,7,2,18,11,0,0,0
23,승,트리스타나,일반,3.25,12,4,1,15,202,0,9,3
24,승,레오나,총력전,4.00,7,8,25,18,19,0,0,0
25,패,세주아니,총력전,2.12,3,8,14,16,16,0,0,0
26,패,제라스,총력전,4.29,13,7,17,18,52,0,0,0
27,패,루시안,총력전,2.25,6,8,12,18,63,0,0,0
28,패,직스,총력전,2.00,4,4,4,12,26,0,0,0
29,패,럭스,일반,0.60,1,5,2,10,72,0,4,2
30,패,아무무,일반,3.60,9,5,9,15,117,0,6,2
31,패,아무무,자유랭크,2.20,3,10,19,18,204,0,9,0
32,패,트리스타나,자유랭크,2.00,2,5,8,11,111,0,5,0
33,패,미스 포츈,자유랭크,0.25,1,8,11,15,237,0,9,1
34,패,라이즈,일반,0.00,0,5,0,10,84,1,3,1
35,패,카이사,랭크,4.33,4,3,9,17,254,0,10,3
36,승,시비르,랭크,12.0,2,1,10,10,138,1,5,1
37,패,카사딘,총력전,2.10,12,10,9,17,45,0,0,0
38,승,코그모,총력전,3.67,17,12,27,18,80,0,0,0
39,패,조이,총력전,4.67,4,3,10,14,40,0,0,0
40,승,케넨,총력전,3.30,17,10,16,18,50,0,0,0
41,패,조이,총력전,4.38,13,8,22,18,49,0,0,0
42,승,질리언,총력전,6.60,10,5,23,18,49,0,0,0
43,패,베인,총력전,1.50,9,12,9,16,31,0,0,0
44,패,징크스,총력전,3.57,7,7,18,15,47,0,0,0
45,패,가렌,일반,1.00,1,1,0,11,77,1,6,1
46,패,마스터이,일반,1.00,3,5,2,11,79,2,8,2
47,패,마스터이,일반,3.25,8,4,5,14,145,3,11,1
48,패,마스터이,자유랭크,1.38,10,8,1,16,129,3,14,0
49,승,다리우스,자유랭크,0.75,3,8,3,15,148,1,10,1
50,패,가렌,자유랭크,2.80,9,5,5,14,142,2,10,3
51,패,마스터이,자유랭크,1.20,3,5,3,13,111,1,7,0
52,패,마스터이,자유랭크,0.67,2,6,2,10,83,0,7,0
53,패,마스터이,랭크,0.00,0,5,0,8,70,0,4,0
54,패,마스터이,랭크,0.33,1,3,0,9,77,0,4,1
55,패,루시안,랭크,2.00,3,4,5,13,157,1,8,3
56,패,알리스타,랭크,0.57,1,7,3,11,42,5,18,3
57,승,럼블,총력전,3.12,17,8,8,16,40,0,0,0
58,승,나미,랭크,10.0,1,1,9,11,3,3,12,1
59,패,나미,랭크,2.00,0,8,16,13,10,4,27,8
60,패,볼리베어,총력전,1.50,4,10,11,15,14,0,0,0
61,승,나미,랭크,3.00,4,6,14,12,9,5,26,7
62,승,하이머딩거,총력전,4.75,12,8,26,18,61,0,0,0
63,패,초가스,총력전,2.75,7,8,15,18,39,0,0,0
64,패,나미,랭크,2.00,2,8,16,13,7,4,26,2
65,패,레오나,랭크,1.25,0,4,5,8,22,4,10,0
66,승,아무무,총력전,4.57,5,7,27,18,11,0,0,0
67,승,트리스타나,일반,3.25,12,4,1,15,202,0,9,3
68,승,레오나,총력전,4.00,7,8,25,18,19,0,0,0
69,패,세주아니,총력전,2.12,3,8,14,16,16,0,0,0
70,패,제라스,총력전,4.29,13,7,17,18,52,0,0,0
71,패,루시안,총력전,2.25,6,8,12,18,63,0,0,0
72,패,직스,총력전,2.00,4,4,4,12,26,0,0,0
73,패,럭스,일반,0.60,1,5,2,10,72,0,4,2
74,패,아무무,일반,3.60,9,5,9,15,117,0,6,2
75,패,아무무,자유랭크,2.20,3,10,19,18,204,0,9,0
76,패,트리스타나,자유랭크,2.00,2,5,8,11,111,0,5,0
77,패,미스 포츈,자유랭크,0.25,1,8,1,15,237,0,9,1
78,패,아칼리,총력전,3.00,4,8,10,17,31,0,0,0
79,패,라이즈,일반,0.00,0,5,0,10,84,1,3,1
80,패,카이사,랭크,4.33,4,3,9,17,254,0,10,3
81,승,시비르,랭크,12.0,2,1,10,10,138,1,5,1
82,패,카사딘,총력전,2.10,12,10,9,17,45,0,0,0
83,승,코그모,총력전,3.67,17,12,27,18,80,0,0,0
84,패,조이,총력전,4.67,4,3,10,14,40,0,0,0
85,승,케넨,총력전,3.30,17,10,16,18,50,0,0,0
86,패,조이,총력전,4.38,13,8,22,18,49,0,0,0
87,승,질리언,총력전,6.60,10,5,23,18,49,0,0,0
88,패,베인,총력전,1.50,9,12,9,16,31,0,0,0
