,win_loss,champ,game,value_score,kill,dead,asist,level,gold,cs,cs_m,buy_ward,use_ward,destr_ward
1,패,잭스,총력전,2.38,9,8,10,17,"11,622",49,2.6,0,0,0
2,패,판테온,총력전,3.57,12,7,13,16,"12,991",28,1.5,0,0,0
3,패,노틸러스,총력전,3.11,10,9,18,18,"12,530",24,1.2,0,0,0
4,패,레오나,총력전,2.12,5,8,12,18,"12,448",25,1,0,0,0
5,승,초가스,총력전,2.5,10,12,20,18,"13,821",29,1.2,0,0,0
6,승,루시안,총력전,3.29,10,7,13,18,"15,030",73,2.8,0,0,0
7,패,레오나,총력전,3.38,8,8,19,16,"10,028",10,0.6,0,0,0
8,승,애쉬,총력전,3.8,6,5,13,14,9240 ,41,2.9,0,0,0
9,패,말파이트,총력전,1.9,6,10,13,18,"12,406",33,1.4,0,0,0
10,패,미스 포츈,총력전,3.22,15,9,14,16,"11,777",43,2.5,0,0,0
11,승,카타리나,총력전,2.33,5,6,9,13,8553 ,33,2.4,0,0,0
12,패,잔나,총력전,3,0,5,15,13,7020 ,11,0.8,0,0,0
13,승,레오나,랭크,2.83,2,6,15,15,9084 ,43,1.6,2,4,2
14,승,나미,랭크,8.2,6,5,35,18,"15,252",16,0.3,8,8,13
15,승,오른,총력전,4.4,5,5,17,13,8377 ,16,1.3,0,0,0
16,패,알리스타,랭크,0.57,1,7,3,11,5503 ,42,1.6,1,8,3
17,승,럼블,총력전,3.12,17,8,8,16,"12,140",40,2.6,0,0,0
18,승,나미,랭크,10,1,1,9,11,5869 ,3,0.1,1,2,1
19,패,나미,랭크,2,0,8,16,13,7634 ,10,0.3,2,7,8
20,패,볼리베어,총력전,1.5,4,10,11,15,9169 ,14,0.8,0,0,0
21,승,나미,랭크,3,4,6,14,12,8134 ,9,0.3,2,6,7
22,승,하이머딩거,총력전,4.75,12,8,26,18,"14,023",61,2.8,0,0,0
23,승,레오나,자유랭크,2.22,3,9,17,17,"10,791",44,1,3,3,10
24,패,볼리베어,일반,4.33,4,3,9,12,8256 ,83,3.8,0,2,0
25,승,트리스타나,일반,Perfet,2,0,22,9,5979 ,124,7.5,0,1,0
26,승,트리스타나,랭크,10.5,17,2,4,15,"15,220",180,6.1,0,8,3
27,패,트리스타나,자유랭크,0.89,4,9,4,16,"11,766",164,4.4,0,9,4
28,승,미스 포츈,자유랭크,3.5,4,2,3,11,8156 ,135,6.1,0,5,2
29,승,트리스타나,자유랭크,2,7,6,5,10,8029 ,82,4,0,4,0
30,승,아무무,자유랭크,0.83,2,6,3,11,6880 ,89,3.8,0,4,0
31,패,트리스타나,자유랭크,1.25,7,8,3,13,"10,299",161,5.8,0,6,1
32,승,애쉬,자유랭크,2.4,2,10,22,17,"12,313",164,4.3,0,9,5
33,승,트리스타나,자유랭크,3.8,9,5,10,17,"16,766",255,6.5,1,3,2
34,패,시비르,랭크,1.57,6,7,5,14,"11,361",189,6.4,0,3,0
35,패,카이사,랭크,2.4,6,5,6,13,9766 ,162,5.5,1,4,1
36,패,피즈,랭크,1.67,6,6,4,14,9806 ,97,3.6,1,1,1
37,패,말자하,랭크,3.33,4,3,6,18,"14,995",290,7.9,1,0,3
38,승,세주아니,일반,2.2,0,5,11,13,7782 ,106,4.5,0,6,2
39,패,다리우스,일반,0.4,1,5,1,11,5855 ,104,4.6,1,4,1
40,승,카밀,일반,1.2,4,10,8,15,9934 ,132,4.4,2,2,1
41,패,아칼리,총력전,3,14,8,10,17,"12,019",31,1.6,0,0,0
42,패,라이즈,일반,0,0,5,0,10,6355 ,84,2.5,1,3,1
43,패,카이사,랭크,4.33,4,3,9,17,"14,963",254,6.9,1,0,3
44,승,시비르,랭크,12,2,1,10,10,8063 ,138,8.3,1,5,1
45,패,블라디미르,랭크,1,0,3,3,14,7966 ,209,8.8,0,6,1
46,승,니코,랭크,Perfet,4,0,5,16,"11,969",208,8.3,0,7,1
47,패,나르,랭크,1.86,7,7,6,14,"10,614",149,5.6,0,7,3
48,승,제이스,랭크,2.44,6,9,16,17,"14,419",249,7.5,0,8,8
49,승,블라디미르,랭크,3.5,3,2,4,14,8415 ,177,7.9,0,7,1
50,승,케넨,랭크,1.62,6,8,7,18,"18,035",286,6.5,1,6,5
51,승,아칼리,랭크,3,1,1,2,11,5624 ,116,7.1,0,4,0
52,패,블라디미르,랭크,0.5,2,4,0,15,"10,999",246,10.2,0,8,3
53,승,블라디미르,랭크,3.5,4,2,3,16,"10,472",201,8.2,0,7,0
54,승,블라디미르,랭크,Perfet,10,0,10,18,"15,506",269,8.4,1,1,11
55,승,케넨,랭크,6,4,2,8,15,"11,912",183,8.1,1,0,2
56,승,벨코즈,봇,6.5,7,2,6,10,6130 ,33,2,0,4,0
57,승,럼블,봇,9,4,1,5,10,6695 ,50,2.3,0,5,0
58,승,케넨,봇,10.6,715,3,17,11,"11,019",51,3.1,0,3,0
59,승,시비르,총력전,3.86,7,7,20,15,"10,130",45,3.1,0,0,0
60,패,이즈리얼,자유랭크,0,0,6,0,9,4494 ,86,5,0,5,0
61,승,카이사,자유랭크,2.33,4,6,10,14,"11,773",184,5.7,0,9,1
62,승,카이사,일반,2.5,4,4,6,10,7838 ,122,5.9,0,6,0
63,승,카이사,일반,2.4,12,10,12,15,"16,178",177,5.3,0,7,1
64,승,카이사,일반,3,11,9,16,16,"15,091",186,5.9,0,8,1
65,승,카이사,일반,8,22,4,10,14,"15,745",126,5.2,0,5,1
66,패,문도 박사,일반,0.83,3,6,2,18,"13,638",254,6.3,1,4,2
